time,asset_futures-funding-rate_funding-rate-open-interest,asset_futures-funding-rate_funding-rate-volume,asset_futures-open-interest_open-interest,asset_futures-volume_trade-count,asset_futures-volume_volume-usd,asset_futures-volume_volume-buy-usd,asset_futures-volume_volume-sell-usd,asset_marketcap_circulating-marketcap,asset_marketcap_circulating-marketcap-dominance,asset_marketcap_fully-diluted-marketcap,asset_price_open,asset_price_high,asset_price_low,asset_price_close,asset_price_volume,asset_sharpe-ratio_sharpe-ratio-30d,asset_sharpe-ratio_sharpe-ratio-90d,asset_sharpe-ratio_sharpe-ratio-1y,asset_sharpe-ratio_sharpe-ratio-3y,asset_supply_circulating-supply,asset_supply_total-supply,asset_volatility_volatility-30d,asset_volatility_volatility-90d,asset_volatility_volatility-1y,asset_volatility_volatility-3y,network_activity_txnCount24Hour,network_activity_activeAddresses24Hour,network_activity_newContractsDeployed24Hour,network_activity_contractDeployers24Hour,network_ecosystem_tvl24HourUsd,network_ecosystem_dexVolume24HourUsd,network_ecosystem_coreCommits24Hour,network_ecosystem_activeDevelopers24Hour,network_ecosystem_ecosystemCommits24Hour,network_financial_feeMedian24HourUsd,network_financial_rolling7dAvgFees,network_financial_avgFeePerTxn24Hour,network_financial_feesTotal24HourUsd,network_financial_feesSupplySide24HourUsd,network_financial_expenses24HourUsd,network_financial_revenue24HourUsd,network_financial_tokenIncentives24HourUsd,network_stablecoin_mints24HourUsd,network_stablecoin_burns24HourUsd,network_stablecoin_outstandingSupplyUsd,network_stablecoin_transferVolumeUsd
2010-01-01,,,,,,,,,,,,,,,,,,,,1631100.0,,,,,,134.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-01-02,,,,,,,,,,,,,,,,,,,,1637400.0,,,,,,126.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-01-03,,,,,,,,,,,,,,,,,,,,1646700.0,,,,,,186.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-01-04,,,,,,,,,,,,,,,,,,,,1655750.0,,,,,,183.0,2.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-01-05,,,,,,,,,,,,,,,,,,,,1665650.0,,,,,,198.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-01-06,,,,,,,,,,,,,,,,,,,,1673800.0,,,,,,163.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-01-07,,,,,,,,,,,,,,,,,,,,1681500.0,,,,,,154.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-01-08,,,,,,,,,,,,,,,,,,,,1689150.0,,,,,,153.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-01-09,,,,,,,,,,,,,,,,,,,,1696700.0,,,,,,151.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-01-10,,,,,,,,,,,,,,,,,,,,1706200.0,,,,,,190.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-01-11,,,,,,,,,,,,,,,,,,,,1714150.0,,,,,,159.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-01-12,,,,,,,,,,,,,,,,,,,,1722100.0,,,,,,161.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-01-13,,,,,,,,,,,,,,,,,,,,1730300.0,,,,,,166.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-01-14,,,,,,,,,,,,,,,,,,,,1737450.0,,,,,,145.0,1.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-01-15,,,,,,,,,,,,,,,,,,,,1744500.0,,,,,,142.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-01-16,,,,,,,,,,,,,,,,,,,,1750750.0,,,,,,126.0,1.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2010-01-17,,,,,,,,,,,,,,,,,,,,1757300.0,,,,,,131.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2010-01-18,,,,,,,,,,,,,,,,,,,,1763550.0,,,,,,126.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2010-01-19,,,,,,,,,,,,,,,,,,,,1769750.0,,,,,,124.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2010-01-20,,,,,,,,,,,,,,,,,,,,1777650.0,,,,,,158.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2010-01-21,,,,,,,,,,,,,,,,,,,,1786400.0,,,,,,184.0,2.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2010-01-22,,,,,,,,,,,,,,,,,,,,1793050.0,,,,,,136.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2010-01-23,,,,,,,,,,,,,,,,,,,,1801050.0,,,,,,162.0,1.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2010-01-24,,,,,,,,,,,,,,,,,,,,1808750.0,,,,,,155.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2010-01-25,,,,,,,,,,,,,,,,,,,,1819300.0,,,,,,215.0,2.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2010-01-26,,,,,,,,,,,,,,,,,,,,1829050.0,,,,,,201.0,3.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2010-01-27,,,,,,,,,,,,,,,,,,,,1837250.0,,,,,,166.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2010-01-28,,,,,,,,,,,,,,,,,,,,1846100.0,,,,,,179.0,0.0,,,,,4.0,1.0,4.0,,,,,,,,,,,,
2010-01-29,,,,,,,,,,,,,,,,,,,,1855950.0,,,,,,201.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-01-30,,,,,,,,,,,,,,,,,,,,1866450.0,,,,,,214.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-01-31,,,,,,,,,,,,,,,,,,,,1874700.0,,,,,,167.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-02-01,,,,,,,,,,,,,,,,,,,,1883900.0,,,,,,193.0,3.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-02-02,,,,,,,,,,,,,,,,,,,,1891150.0,,,,,,146.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-02-03,,,,,,,,,,,,,,,,,,,,1904650.0,,,,,,272.0,0.0,,,,,2.0,1.0,2.0,,,,,,,,,,,,
2010-02-04,,,,,,,,,,,,,,,,,,,,1916100.0,,,,,,234.0,0.0,,,,,2.0,1.0,2.0,,,,,,,,,,,,
2010-02-05,,,,,,,,,,,,,,,,,,,,1927250.0,,,,,,227.0,1.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-02-06,,,,,,,,,,,,,,,,,,,,1936850.0,,,,,,206.0,1.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-02-07,,,,,,,,,,,,,,,,,,,,1947700.0,,,,,,222.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-02-08,,,,,,,,,,,,,,,,,,,,1957700.0,,,,,,208.0,4.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-02-09,,,,,,,,,,,,,,,,,,,,1968050.0,,,,,,210.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-02-10,,,,,,,,,,,,,,,,,,,,1976450.0,,,,,,173.0,1.0,,,,,6.0,1.0,6.0,,,,,,,,,,,,
2010-02-11,,,,,,,,,,,,,,,,,,,,1984900.0,,,,,,174.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-02-12,,,,,,,,,,,,,,,,,,,,1994050.0,,,,,,188.0,1.0,,,,,2.0,1.0,2.0,,,,,,,,,,,,
2010-02-13,,,,,,,,,,,,,,,,,,,,2005650.0,,,,,,235.0,1.0,,,,,2.0,1.0,2.0,,,,,,,,,,,,
2010-02-14,,,,,,,,,,,,,,,,,,,,2016050.0,,,,,,219.0,3.0,,,,,4.0,1.0,4.0,,,,,,,,,,,,
2010-02-15,,,,,,,,,,,,,,,,,,,,2024850.0,,,,,,185.0,0.0,,,,,4.0,1.0,4.0,,,,,,,,,,,,
2010-02-16,,,,,,,,,,,,,,,,,,,,2034600.0,,,,,,201.0,1.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-02-17,,,,,,,,,,,,,,,,,,,,2046550.0,,,,,,250.0,5.0,,,,,4.0,1.0,4.0,,,,,,,,,,,,
2010-02-18,,,,,,,,,,,,,,,,,,,,2056950.0,,,,,,215.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-02-19,,,,,,,,,,,,,,,,,,,,2066550.0,,,,,,195.0,2.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-02-20,,,,,,,,,,,,,,,,,,,,2076950.0,,,,,,210.0,0.0,,,,,2.0,1.0,2.0,,,,,,,,,,,,
2010-02-21,,,,,,,,,,,,,,,,,,,,2088100.0,,,,,,227.0,0.0,,,,,2.0,1.0,2.0,,,,,,,,,,,,
2010-02-22,,,,,,,,,,,,,,,,,,,,2101100.0,,,,,,265.0,1.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-02-23,,,,,,,,,,,,,,,,,,,,2113600.0,,,,,,251.0,0.0,,,,,2.0,1.0,2.0,,,,,,,,,,,,
2010-02-24,,,,,,,,,,,,,,,,,,,,2122150.0,,,,,,177.0,1.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-02-25,,,,,,,,,,,,,,,,,,,,2129850.0,,,,,,158.0,1.0,,,,,2.0,1.0,2.0,,,,,,,,,,,,
2010-02-26,,,,,,,,,,,,,,,,,,,,2138450.0,,,,,,176.0,1.0,,,,,2.0,1.0,2.0,,,,,,,,,,,,
2010-02-27,,,,,,,,,,,,,,,,,,,,2147050.0,,,,,,175.0,1.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-02-28,,,,,,,,,,,,,,,,,,,,2154850.0,,,,,,159.0,0.0,,,,,2.0,1.0,2.0,,,,,,,,,,,,
2010-03-01,,,,,,,,,,,,,,,,,,,,2164600.0,,,,,,199.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-03-02,,,,,,,,,,,,,,,,,,,,2174000.0,,,,,,193.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-03-03,,,,,,,,,,,,,,,,,,,,2181600.0,,,,,,158.0,3.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-03-04,,,,,,,,,,,,,,,,,,,,2190850.0,,,,,,188.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-03-05,,,,,,,,,,,,,,,,,,,,2199400.0,,,,,,173.0,1.0,,,,,4.0,1.0,4.0,,,,,,,,,,,,
2010-03-06,,,,,,,,,,,,,,,,,,,,2208250.0,,,,,,183.0,2.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-03-07,,,,,,,,,,,,,,,,,,,,2217200.0,,,,,,183.0,1.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-03-08,,,,,,,,,,,,,,,,,,,,2223450.0,,,,,,130.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-03-09,,,,,,,,,,,,,,,,,,,,2230750.0,,,,,,148.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-03-10,,,,,,,,,,,,,,,,,,,,2238850.0,,,,,,169.0,3.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-03-11,,,,,,,,,,,,,,,,,,,,2245500.0,,,,,,136.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
2010-03-12,,,,,,,,,,,,,,,,,,,,2251550.0,,,,,,123.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,,,
